location_no,property_jibun_juso,property_doro_juso,zipcode,x_coordinate,y_coordinate,formated_price,jibun_juso
1,강남구 개포동 1164-25,서울 강남구 논현로2길 62,6313,127.054819119153,37.4743931266036,9.00,서울특별시강남구 개포동 1164-25
2,강남구 개포동 1164-26,서울 강남구 논현로2길 64,6313,127.054950429384,37.4744723544845,4.68,서울특별시강남구 개포동 1164-26
3,강남구 개포동 1166-5,서울 강남구 논현로2길 45,6314,127.053560045082,37.4738829214705,7.75,서울특별시강남구 개포동 1166-5
4,강남구 개포동 1167-6,서울 강남구 논현로2길 35,6314,127.052893417735,37.47344415956,3.50,서울특별시강남구 개포동 1167-6
5,강남구 개포동 1169-5,서울 강남구 논현로6길 10-14,6313,127.050971527087,37.4725415613479,6.70,서울특별시강남구 개포동 1169-5
6,강남구 개포동 1170-3,서울 강남구 논현로4길 13,6314,127.051108251899,37.4729463261726,4.85,서울특별시강남구 개포동 1170-3
7,강남구 개포동 1171-2,서울 강남구 논현로6길 18-8,6314,127.051193179126,37.4733182263944,4.45,서울특별시강남구 개포동 1171-2
8,강남구 개포동 1194-1,서울 강남구 논현로 48,6312,127.04788898117,37.4749282749794,4.50,서울특별시강남구 개포동 1194-1
9,강남구 개포동 1196-8,서울 강남구 논현로12길 9-4,6312,127.049039625687,37.4747599448922,7.00,서울특별시강남구 개포동 1196-8
10,강남구 개포동 12,서울 강남구 개포로109길 21,6334,127.075215384158,37.4941848052621,15.30,서울특별시강남구 개포동 12
11,강남구 개포동 1204-2,서울 강남구 개포로28길 24-5,6308,127.050014589723,37.4773156106508,6.90,서울특별시강남구 개포동 1204-2
12,강남구 개포동 1205-8,서울 강남구 개포로24길 23,6308,127.049257128359,37.477675251427,6.50,서울특별시강남구 개포동 1205-8
13,강남구 개포동 1206-5,서울 강남구 개포로26길 27,6308,127.049941027627,37.4775410743395,2.40,서울특별시강남구 개포동 1206-5
14,강남구 개포동 1207-3,서울 강남구 개포로30길 22,6309,127.05056568587,37.4777462388219,4.90,서울특별시강남구 개포동 1207-3
15,강남구 개포동 1208-1,서울 강남구 개포로32길 16,6309,127.050678791603,37.4781546179269,3.90,서울특별시강남구 개포동 1208-1
16,강남구 개포동 1214-3,서울 강남구 개포로30길 12,6309,127.049993424632,37.4782982604912,3.70,서울특별시강남구 개포동 1214-3
17,강남구 개포동 1218-14,서울 강남구 개포로24길 36,6308,127.049703411245,37.4768987547452,2.13,서울특별시강남구 개포동 1218-14
18,강남구 개포동 1226-9,서울 강남구 논현로16길 10-5,6312,127.047682142991,37.4760693974256,4.70,서울특별시강남구 개포동 1226-9
19,강남구 개포동 1231-15,서울 강남구 개포로20길 21,6307,127.048040674297,37.477542492978,2.24,서울특별시강남구 개포동 1231-15
20,강남구 개포동 1232-9,서울 강남구 논현로18길 22-13,6307,127.04744026401,37.4775881464462,7.35,서울특별시강남구 개포동 1232-9
21,강남구 개포동 1236-11,서울 강남구 논현로20길 4-33,6307,127.046602534949,37.4765193418864,4.80,서울특별시강남구 개포동 1236-11
22,강남구 개포동 1241-4,서울 강남구 개포로17길 13-10,6303,127.045672759845,37.4796490907915,5.95,서울특별시강남구 개포동 1241-4
23,강남구 개포동 1245-5,서울 강남구 개포로17길 9-3,6303,127.046170586732,37.4791439717528,4.50,서울특별시강남구 개포동 1245-5
24,강남구 개포동 1249-1,서울 강남구 개포로21길 11,6306,127.046926520024,37.4795476864727,4.00,서울특별시강남구 개포동 1249-1
25,강남구 개포동 1262-13,서울 강남구 개포로31길 6,6306,127.049875422914,37.4795336841565,6.45,서울특별시강남구 개포동 1262-13
26,강남구 개포동 1262-4,서울 강남구 개포로35길 13,6306,127.049710516402,37.4799447940187,6.90,서울특별시강남구 개포동 1262-4
27,강남구 개포동 1265-3,서울 강남구 개포로31길 29-2,6306,127.048542256746,37.4809670239971,4.80,서울특별시강남구 개포동 1265-3
28,강남구 개포동 1280,서울 강남구 선릉로 8,6326,127.064886971612,37.4811712758974,23.40,서울특별시강남구 개포동 1280
29,강남구 개포동 1281,서울 강남구 삼성로 11,6327,127.067391885665,37.4839883187894,33.00,서울특별시강남구 개포동 1281
30,강남구 개포동 1282,서울 강남구 개포로 264,6310,127.054256523217,37.4783842282264,32.30,서울특별시강남구 개포동 1282
31,강남구 개포동 13-3,서울 강남구 개포로 623,6336,127.079615871531,37.4943479772054,2.15,서울특별시강남구 개포동 13-3
32,강남구 개포동 161,서울 강남구 선릉로10길 28,6325,127.062094579967,37.4841701618462,3.00,서울특별시강남구 개포동 161
33,강남구 개포동 176-2,서울 강남구 개포로 407,6323,127.060656112764,37.4873312853508,17.17,서울특별시강남구 개포동 176-2
34,강남구 개포동 185,서울 강남구 개포로 516,6330,127.071512090879,37.4890750603132,28.40,서울특별시강남구 개포동 185
35,강남구 개포동 187,서울 강남구 개포로88길 10-2,6329,127.068503584968,37.4876228868467,22.85,서울특별시강남구 개포동 187
36,강남구 개포동 189,서울 강남구 삼성로 14,6331,127.069984716026,37.4856994479252,32.00,서울특별시강남구 개포동 189
37,강남구 개포동 649,서울 강남구 언주로 110,6317,127.054173895409,37.4845150908032,32.20,서울특별시강남구 개포동 649
38,강남구 개포동 652,서울 강남구 개포로 307,6319,127.056013870468,37.4839732673555,25.17,서울특별시강남구 개포동 652
39,강남구 개포동 653,서울 강남구 개포로 303,6320,127.054425938151,37.4826695293008,34.00,서울특별시강남구 개포동 653
40,강남구 개포동 654,서울 강남구 언주로 107,6305,127.05125279339,37.4824775018158,24.80,서울특별시강남구 개포동 654
41,강남구 개포동 655-2,서울 강남구 언주로 103,6305,127.053098618368,37.4814556635509,18.90,서울특별시강남구 개포동 655-2
42,강남구 개포동 660-1,서울 강남구 개포로 310,6321,127.058871288366,37.4831443018083,28.50,서울특별시강남구 개포동 660-1
43,강남구 논현동 105,서울 강남구 언주로146길 18,6057,127.036575387431,37.5193540121054,31.00,서울특별시강남구 논현동 105
44,강남구 논현동 105-4,서울 강남구 도산대로46길 21,6057,127.037147426481,37.5207174115373,15.00,서울특별시강남구 논현동 105-4
45,강남구 논현동 122-17,서울 강남구 학동로6길 6-13,6110,127.023868461519,37.5106333841871,1.65,서울특별시강남구 논현동 122-17
46,강남구 논현동 152-5,서울 강남구 논현로 641,6116,127.031782562735,37.5108651503352,3.08,서울특별시강남구 논현동 152-5
47,강남구 논현동 167-19,서울 강남구 강남대로120길 27,6119,127.025447396658,37.5075763060021,2.85,서울특별시강남구 논현동 167-19
48,강남구 논현동 173-15,서울 강남구 학동로18길 64,6116,127.030368575365,37.5096270916097,3.00,서울특별시강남구 논현동 173-15
49,강남구 논현동 174-9,서울 강남구 논현로117길 14,6117,127.031259639814,37.5096991197311,4.55,서울특별시강남구 논현동 174-9
50,강남구 논현동 180-5,서울 강남구 강남대로120길 56,6118,127.027830357194,37.5076694731213,3.72,서울특별시강남구 논현동 180-5
51,강남구 논현동 188-3,서울 강남구 강남대로120길 70,6118,127.028971234669,37.5074435871817,1.90,서울특별시강남구 논현동 188-3
52,강남구 논현동 189-19,서울 강남구 논현로113길 40,6122,127.030115311174,37.5075965619862,6.80,서울특별시강남구 논현동 189-19
53,강남구 논현동 203-1,서울 강남구 봉은사로 129,6121,127.02822293999,37.5058897147799,2.12,서울특별시강남구 논현동 203-1
54,강남구 논현동 212-13,서울 강남구 학동로38길 22,6105,127.034141126794,37.5135186704047,13.50,서울특별시강남구 논현동 212-13
55,강남구 논현동 214-2,서울 강남구 학동로30길 21,6105,127.032722616686,37.5127472718024,14.10,서울특별시강남구 논현동 214-2
56,강남구 논현동 22,서울 강남구 강남대로146길 28,6043,127.022668627156,37.5147157100303,9.00,서울특별시강남구 논현동 22
57,강남구 논현동 221-7,서울 강남구 봉은사로29길 35,6107,127.033523881412,37.5097162486159,2.08,서울특별시강남구 논현동 221-7
58,강남구 논현동 225-6,서울 강남구 언주로 615,6107,127.035945387383,37.5105418478107,15.50,서울특별시강남구 논현동 225-6
59,강남구 논현동 229-17,서울 강남구 봉은사로29길 24-8,6108,127.034627282392,37.5091306376943,4.80,서울특별시강남구 논현동 229-17
60,강남구 논현동 23-14,서울 강남구 학동로3길 28,6043,127.022062550791,37.5134840622886,16.00,서울특별시강남구 논현동 23-14
61,강남구 논현동 241-1,서울 강남구 학동로 338,6099,127.040139165715,37.5165525364258,9.20,서울특별시강남구 논현동 241-1
62,강남구 논현동 242-31,서울 강남구 선릉로 663,6099,127.041464628345,37.5159137175163,16.94,서울특별시강남구 논현동 242-31
